Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,418.037415,419.325226,415.610443,416.402924,387.885162,3152667.0
2013-01-02,418.037415,423.981079,417.319244,419.993866,391.230164,6203434.0
2013-01-03,420.315826,426.952911,418.334595,426.333771,397.135834,7968629.0
2013-01-04,426.903381,428.240692,422.767578,426.878632,397.643402,6140890.0
2013-01-07,428.785553,431.410645,421.900787,424.278259,395.221069,7064261.0
2013-01-08,423.535309,425.02121,419.969116,421.331207,392.475922,6448905.0
2013-01-09,422.197998,425.888,420.340576,422.346588,393.421753,7878644.0
2013-01-10,424.84787,425.44223,419.523346,421.034027,392.199036,4264172.0
2013-01-11,422.247528,422.495178,414.198822,416.006683,387.516052,3715209.0
2013-01-14,416.551514,422.495178,415.560913,419.795746,391.045593,3258598.0
2013-01-15,419.102325,421.900787,415.065582,419.597626,390.861053,4793989.0
2013-01-16,419.052795,431.361115,419.052795,426.630951,397.41272,9022900.0
2013-01-17,427.002441,442.579773,425.83847,440.821442,410.631348,10207239.0
2013-01-18,443.297974,447.235657,438.66687,445.873566,415.337433,10501297.0
2013-01-21,464.64563,473.016266,454.714752,455.655823,424.449768,20286308.0
2013-01-22,455.680603,460.980377,453.476501,455.705353,424.495972,8613623.0
2013-01-23,456.720734,460.039276,453.798431,457.191284,425.880066,5400448.0
2013-01-24,458.157135,459.816406,449.241638,453.476501,422.419647,6201657.0
2013-01-25,453.823212,454.368042,448.300568,451.81723,420.874023,6501830.0
2013-01-28,451.39621,452.28775,443.297974,444.561005,414.114777,6184550.0
2013-01-29,443.297974,446.765106,435.917938,437.280029,407.332428,7125282.0
2013-01-30,439.583191,447.458527,439.583191,445.477325,414.968353,8141748.0
2013-01-31,444.115234,444.783905,437.403839,439.16217,409.085724,7722548.0
2013-02-01,441.490112,445.675446,437.651489,442.802673,412.476868,3762524.0
2013-02-04,443.818054,446.269806,437.899139,439.186951,409.108826,6321183.0
2013-02-05,437.849609,438.79071,432.401276,433.268066,403.595276,4480439.0
2013-02-06,436.091278,437.304779,431.311584,433.713837,404.010529,4558007.0
2013-02-07,431.707855,436.859009,430.098114,432.351746,402.74173,3942395.0
2013-02-08,430.890594,432.896576,424.476379,427.720642,398.427765,4423115.0
2013-02-11,428.438843,433.391876,426.259491,430.122864,400.665466,3844245.0
2013-02-12,430.221924,436.041748,428.537903,433.614777,403.918213,4489795.0
2013-02-13,437.849609,439.830841,432.153625,435.373108,405.556122,4861085.0
2013-02-14,435.868408,437.577209,421.504547,424.005859,394.967377,5669500.0
2013-02-15,423.436249,424.6745,413.133911,418.928986,390.23819,6641223.0
2013-02-18,420.018646,423.287659,417.641174,419.770996,391.022522,2450597.0
2013-02-19,420.513947,423.485779,413.208191,420.216766,391.437775,4465943.0
2013-02-20,424.94693,435.298798,424.278259,433.292816,403.618317,6864000.0
2013-02-21,430.420044,434.283417,422.817108,425.566071,396.420715,7483003.0
2013-02-22,425.21933,431.905975,424.97168,427.250092,397.98941,4488226.0
2013-02-25,427.943512,428.414063,421.504547,423.163818,394.183014,4558920.0
2013-02-26,420.860657,420.860657,405.530975,407.883667,379.949341,6218671.0
2013-02-27,411.103149,416.526733,409.691528,411.74704,383.548126,8172768.0
2013-02-28,414.669342,415.833313,399.09201,403.103973,375.497009,12768708.0
2013-03-01,404.168884,405.407135,398.96817,401.395172,373.905182,6417934.0
2013-03-04,400.652222,405.283325,398.67099,402.484833,374.920227,6898502.0
